dd;temp;chuva;ur;doy;s_dif;yr;leap;acc_dif;dif_adj_lag10;dif_adj_lag3;acc_dif_adj_lag10;acc_dif_adj_lag3;diaFavInf;hcp
2004-06-21;21.3125;0;61.8666666666667;173;0;2004;TRUE;9.90817218845223;0.0183627485087285;0.00165490377633014;3.86096137818998;6.10634797003837;0;1.562
2004-06-22;21.875;0;64.5541666666667;174;0;2004;TRUE;9.90817218845223;0.0149635578510575;0.000903521213992845;3.87592493604104;6.10725149125237;0;2.446
2004-06-23;21.6791666666667;0;60.1458333333333;175;0;2004;TRUE;9.90817218845223;0.0124953403458433;0.000501697599553235;3.88842027638688;6.10775318885192;0;2.379
2004-06-24;19.4333333333333;0;67.2083333333333;176;0;2004;TRUE;9.90817218845223;0.0102563085461811;0.000276011268887116;3.89867658493306;6.10802920012081;0;1.5
2004-06-25;17.9458333333333;0.4;82.6458333333333;177;0.199255583126551;2004;TRUE;10.1074277715788;0.0371778025353025;0.0665711467926643;3.93585438746836;6.17460034691347;0;1.187
2004-06-26;19.725;0.2;75.525;178;0;2004;TRUE;10.1074277715788;0.0110072708523343;0.0166887885763139;3.9468616583207;6.19128913548978;0;0.99
2004-06-27;19.4875;17;89.0958333333333;179;0.806675128887833;2004;TRUE;10.9141029004666;0.125118201886004;0.284159097905467;4.0719798602067;6.47544823339525;1;1.186
2004-06-28;17.6208333333333;9.4;92.9083333333333;180;1.28013316281103;2004;TRUE;12.1942360632776;0.206565243058009;0.500532293509427;4.27854510326471;6.97598052690468;1;0.89
2004-06-29;20.1458333333333;0;80.6125;181;0.669014897952818;2004;TRUE;12.8632509612305;0.142165177106153;0.395497889012541;4.42071028037086;7.37147841591722;1;1.397
2004-06-30;22.3166666666667;0;67.9875;182;0;2004;TRUE;12.8632509612305;0.0585827689085246;0.182296521171373;4.47929304927939;7.55377493708859;0;2.107
2004-07-01;22.3166666666667;0;67.2166666666667;183;0;2004;TRUE;12.8632509612305;0.0580711402021559;0.111490445128267;4.53736418948155;7.66526538221686;0;2.441
2004-07-02;22.3208333333333;0;66.775;184;0;2004;TRUE;12.8632509612305;0.0556495743431155;0.0582553648106289;4.59301376382466;7.72352074702749;0;1.539
2004-07-03;22.7083333333333;0.2;64.8833333333333;185;0;2004;TRUE;12.8632509612305;0.0537397822647991;0.0331455820573683;4.64675354608946;7.75666632908486;0;2.293
2004-07-04;23.2958333333333;0;63.9416666666667;186;0;2004;TRUE;12.8632509612305;0.0460562298251022;0.0179956229827802;4.69280977591456;7.77466195206764;0;2.4
2004-07-05;20.4291666666667;11.4;81.4416666666667;187;0.831881242165729;2004;TRUE;13.6951322033962;0.153754073754051;0.287316916810499;4.84656384966861;8.06197886887814;1;1.566
2004-07-06;19.0916666666667;0;90.8416666666667;188;1.20356372037388;2004;TRUE;14.8986959237701;0.214609091495475;0.476016406491048;5.06117294116409;8.53799527536918;1;0
2004-07-07;20.7375;0;78.1375;189;0;2004;TRUE;14.8986959237701;0.0616697021197199;0.166890254424512;5.12284264328381;8.7048855297937;0;0.39
2004-07-08;18.5083333333333;5.8;85.6416666666667;190;1.18991950098343;2004;TRUE;16.0886154247535;0.228785830925728;0.517698465015779;5.35162847420954;9.22258399480947;1;1.104
2004-07-09;16.8958333333333;0.2;95.0833333333333;191;1.5666786122987;2004;TRUE;17.6552940370522;0.301274922563623;0.679465862757595;5.65290339677316;9.90204985756707;1;1.626
2004-07-10;15.6791666666667;10.6;94.2708333333333;192;1.15327885703573;2004;TRUE;18.8085728940879;0.267812675324533;0.640575828870605;5.92071607209769;10.5426256864377;1;1.218
2004-07-11;11.1083333333333;0;76.7208333333333;193;0;2004;TRUE;18.8085728940879;0.121144203430311;0.273388267677251;6.041860275528;10.8160139541149;1;2.439
2004-07-12;15.4083333333333;0;79.4208333333333;194;0;2004;TRUE;18.8085728940879;0.112588907907847;0.175109705064414;6.15444918343585;10.9911236591793;0;1.773
2004-07-13;19.5166666666667;0.4;81.1166666666667;195;0;2004;TRUE;18.8085728940879;0.10079142891963;0.0893421375456451;6.25524061235548;11.080465796725;0;0
2004-07-14;21.1291666666667;0;78.1666666666667;196;0;2004;TRUE;18.8085728940879;0.0954891076574264;0.0515204852304802;6.35072972001291;11.1319862819555;0;0
2004-07-15;21.7375;27.2;74.8708333333333;197;0.194648354250533;2004;TRUE;19.0032212483385;0.109590965508474;0.0926532623154052;6.46032068552138;11.2246395442709;0;0
2004-07-16;18.575;16.8;91.8041666666667;198;1.20773418973684;2004;TRUE;20.2109554380753;0.241223123093404;0.434328126362879;6.70154380861478;11.6589676706337;1;0
2004-07-17;17.6333333333333;0.2;88.2875;199;1.09269495773731;2004;TRUE;21.3036503958126;0.232791129852311;0.488255894555724;6.9343349384671;12.1472235651895;1;0
2004-07-18;14.3208333333333;23.6;84.8041666666667;200;0;2004;TRUE;21.3036503958126;0.0902755619164492;0.194451994699411;7.02461050038354;12.3416755598889;0;0
2004-07-19;13.55;10.4;95.95;201;0;2004;TRUE;21.3036503958126;0.0843075429248122;0.129988981100807;7.10891804330836;12.4716645409897;0;0
2004-07-20;14.5791666666667;0;83.95;202;0;2004;TRUE;21.3036503958126;0.0783965755336225;0.0649059110584368;7.18731461884198;12.5365704520481;0;0
2004-07-21;14.2166666666667;0;74.3583333333333;203;0;2004;TRUE;21.3036503958126;0.0721883530461575;0.037891307948077;7.25950297188814;12.5744617599962;0;0
2004-07-22;14.725;0;65.1916666666667;204;0;2004;TRUE;21.3036503958126;0.0648217442184564;0.020290478830092;7.32432471610659;12.5947522388263;0;0
2004-07-23;14.7625;0;63.4916666666667;205;0;2004;TRUE;21.3036503958126;0.0514009448230155;0.0113878376988692;7.37572566092961;12.6061400765252;0;0
2004-07-24;14.8666666666667;0;62.6916666666667;206;0;2004;TRUE;21.3036503958126;0.0391360049138498;0.0062287058963993;7.41486166584346;12.6123687824216;0;0.191
2004-07-25;15.3125;0;62.3833333333333;207;0;2004;TRUE;21.3036503958126;0.0339932425711753;0.00345514942391135;7.44885490841463;12.6158239318455;0;0.096
2004-07-26;15.9375;0;62.65;208;0;2004;TRUE;21.3036503958126;0.0291756052698357;0.00190190500537772;7.47803051368447;12.6177258368509;0;0
